key_id,expected_error_reason
,invalid key: empty key
tenant,invalid key: incomplete key
tenant:a8f3a1c2:dashboard,invalid key because anchor id is missing
tenant:a8f3a1c2:group,invalid key because every segment must include label and value
tenant:a8f3a1c2:group:b4b7d9e1:dashboard:d1e52f07:note:c7c401c2:text,invalid key because intrinsic terminal segments must use explicit underscore value
tenant:a8f3a1c2:group:b4b7d9e1:dashboard:d1e52f07:missing:a1:text,"invalid key: unsupported label ""missing"""
tenant:a8f3a1c2:group:b4b7d9e1:dashboard:d1e52f07:_,invalid key because underscore alias must follow an explicit allowed label
tenant:a8f3a1c2:group:b4b7d9e1:dashboard:d1e52f07:text:_:child:c1,invalid key because terminal segment cannot have children
tenant:a8f3a1c2:group:b4b7d9e1:dashboard:d1e52f07:user:a1,invalid key because user only allows reserved contextual or intrinsic values in that position
tenant:a8f3a1c2:group:b4b7d9e1:dashboard:d1e52f07:like:_:user:a1,invalid key because user only allows reserved contextual or intrinsic values under like
